127.0.0.1 - - [15/Apr/2021:09:45:42 +0900] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [15/Apr/2021:09:46:24 +0900] "GET /javascript_jquery/ex09.html HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [15/Apr/2021:09:46:24 +0900] "GET /javascript_jquery/js/jQuery3.x-3.6.0.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [15/Apr/2021:09:46:24 +0900] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Apr/2021:09:47:51 +0900] "GET /javascript_jquery/ex09.html HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [15/Apr/2021:09:47:51 +0900] "GET /javascript_jquery/js/jQuery3.x/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [15/Apr/2021:09:47:52 +0900] "GET /javascript_jquery/ex09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:09:57:22 +0900] "GET /javascript_jquery/ex09.html HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [15/Apr/2021:09:57:22 +0900] "GET /javascript_jquery/js/jQuery3.x/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:09:59:33 +0900] "GET /javascript_jquery/ex09.html HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [15/Apr/2021:09:59:33 +0900] "GET /javascript_jquery/js/jQuery3.x/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:19:11 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:19:11 +0900] "GET /javascript_jquery/js/jQuery3.x/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:19:14 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:20:04 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:20:21 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:20:38 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:21:05 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:25:58 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:25:58 +0900] "GET /javascript_jquery/js/jQuery3.x/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:26:00 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:26:01 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:26:02 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:26:03 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:26:04 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:26:05 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:10:26:07 +0900] "GET /javascript_jquery/jQuery_ex01.html HTTP/1.1" 304 -
